,id,text,class
0,1082345732810653697,فتى تايلند فعل لا فعل حرائر,3
1,1084096679987609600,أعيش حر نعيم أخطاء بلد اثق تمام مساعدة حاكم سلطة بلد حاكم انسانيه مملك انسانيه مو محتاج بلد لاتملك ربع مايملكون حفظ الله,1
2,1085520848814002176,انبحث غيهب إبريق عدو بحث صديق انطلب لهيب جمر شب نار إطفاء حريق انخرق سفينه خرق عجب سمع غريق,1
3,1082274251640586240,رهف محمد كان ناقص يالقاصر الله يلعنك راك عالم منتفض يبي ياخذك سالف على خنزيره بكره تبدا تحرك حنك,3
4,1084508255420903424,مؤكد ظهر بادرة انحراف منهج صحيح مؤكد أهل رؤا خوف غير مبرر على منع تخاطب جهة اختصاص مناصح حبس لزم أمر عاش فتر داعش مقلوب ضحيه والد حفط الله ابنائ,3
5,1082305603589074944,جزء كويس حصل دح توصل أستراليا حتلاقي دعم كبير جهة مختلف و ناس عادي حيساعدوها دعم و مسانده خارج أستراليا بدل قلب علم نيوزيلاندا فتى تايلند,1
6,1084194304485138433,رأى عطيتوها أكبر حجم اختار هجر داي حي ثاني خلاص تحمل نتيج عاقبة اختيار,1
7,1083825009909551106,احمق آذى نفس لا شعر و ما حصل حكومه السعوديه أصبح لاجئ رغم انوف مسافر بسيط بحث حريه ترك و شان انتهى موضوع سلام غباء تعامل موضوع خرج منتصر و كسر انوف هنيء رهف حريه,3
8,1084372417731006464,تلف عالم كل ما تلقى ممنوع ممنوعمثل حضن امج ابوج تعب عليج عطوج عمر سنة نزلة رأس وفشلتيهم جمجم ممنوع وكسرتيهم الله عوض هالابتلاء مصيب ممنوع ممنوع صار رأس رب ياخذ حق ندم سويتي في شعر راسج ممنوع فتى تايلند رهف محمد قنون,3
9,1085318693540769794,رهف محمد خاص لازم تصرف نفس و دفع إيجار سكن و مصروف أكل و لبس و دراسه و مواصلة علاج و راتب لجوء سته أشهر شهر ضجه العالميه كل سحب على راح ندم سحب المع تتاكدي نفس,1
10,1084078273666170880,معنف حكومة يش ما عمل لا ما لاقى تعاطف وجه مذاق طعام وجه مذاق طعام,1
11,1082273108705361920,فتى تايلند سرع ماتبدي ندم حسايف قزاز عقب كسر صعب جبايرها,1
12,1082341451332284416,وش توفر حي مراه مستقله كامل اهليه وطن نحن لم حلم أكثر حي حياه فتى تايلند,1
